####
#  1998 Word Cup Venues   10 (in 10 cities)

name,  city, cc

Stade de Bordeaux, Bordeaux, fr
Stade Felix Bollaert, Lens, fr
Stade de Gerland, Lyon, fr
Stade Vélodrome, Marseille, fr
Stade de la Mosson, Montpellier, fr
Stade de la Beaujoire, Nantes, fr
Parc des Princes, Paris, fr
Stade de France, Paris (Saint-Denis), fr
Stade Geoffroy Guichard, Saint-Étienne, fr
Stade de Toulouse, Toulouse, fr
