######
#  1966 World Cup Venues   8 (in 7 cities)

name,  city,   cc

Villa Park,           Birmingham, eng
Goodison Park,        Liverpool, eng
Old Trafford Stadium, Manchester, eng
Ayresome Park,        Middlesbrough, eng
Hillsborough,         Sheffield, eng
Roker Park Ground,    Sunderland, eng
White City,           London, eng
Wembley Stadium,      London, eng
