####
#  1958 World Cup Venues   12 (in 12 cities)

name,            city,    cc

Ryavallen,       Borås, se
Tunavallen,      Eskilstuna, se
Nya Ullevi,      Gothenburg, se
Orjans Vall,     Halmstad, se
Olympia Stadium, Helsingborg, se
Malmo Stadion,   Malmö, se
Idrottsparken,   Norrköping, se
Jarnvallen,      Sandviken, se
Rasunda Stadium, Solna, se
Rimnersvallen,   Uddevalla, se
Arosvallen,      Västerås, se
Eyravallen,      Örebro, se
