####
#  1994 World Cup Venues   9 (in 9 cities)

name, city, cc

Foxboro Stadium,     Boston (Foxborough), us
Soldier Field,       Chicago, us
Cotton Bowl,         Dallas, us
Pontiac Silverdome,  Detroit (Pontiac), us
Rose Bowl,           Los Angeles (Pasadena), us
Giants Stadium,      New York/New Jersey (East Rutherford), us
Citrus Bowl,         Orlando, us
Stanford Stadium,    San Francisco (Stanford), us
RFK Stadium,         Washington, us
