#####
#  1962 World Cup Venues   4 (in 4 cities)


name,   city,  cc

Carlos Dittborn,                          Arica, cl
Estadio Braden Copper Co.,                Rancagua, cl
Estadio Nacional Julio Martínez Prádanos, Santiago, cl
Estadio Sausalito,                        Viña del Mar, cl
