###
#  1938 World Cup Venues   10 (in 9 cities)

name, city, cc

Fort Carree,          Antibes, fr
Stade de Bordeaux,    Bordeaux, fr
Cavee Verte,          Le Havre, fr
Victor Boucquey,      Lille, fr
Stade Vélodrome,      Marseille, fr
Velodrome Municipale, Reims, fr
Stade de la Meinau,   Strasbourg, fr
Stade de Toulouse,    Toulouse, fr
Parc des Princes,     Paris, fr
Stade Olympique,      Paris (Colombes), fr
