####
#  1954 World Cup Venues   6 (in 6 cities)


name,  city,   cc

St. Jakob-Park,        Basel, ch
Stade de Suisse,       Bern, ch
Charmilles,            Geneva, ch
La Pontaise,           Lausanne, ch
Comunale di Cornaredo, Lugano, ch
Hardturm,              Zürich, ch
