######
#  1978 World Cup Venues   6 (in 5 cities)

name, city, cc

Estadio Mario Alberto Kempes,          Córdoba, ar
Estadio José María Minella,            Mar del Plata, ar
Estadio Libertador General San Martín, Mendoza, ar
Arroyito,                              Rosario, ar
El Monumental,                         Buenos Aires, ar
Estadio Jose Amalfitani,               Buenos Aires, ar
