
#####
## 1934 World Cup Venues   8 (in 8 cities)

name, city, cc

Littorale,              Bologna,   it
Giovanni Berta,         Florence,  it
Estadio Luigi Ferraris, Genoa,     it
Stadio Giuseppe Meazza, Milan,     it
Giorgio Ascarelli,      Naples,    it
Nazionale PNF,          Rome,      it
Littorio,               Trieste,   it
Stadio Olimpico,        Turin,     it
