###
#  1990 World Cup Venues   12 (in 12 cities)

name, city, cc

Stadio San Nicola, Bari, it
Stadio Renato Dall'Ara, Bologna, it
Sant Elia, Cagliari, it
Comunale, Florence, it
Estadio Luigi Ferraris, Genoa, it
Stadio Giuseppe Meazza, Milan, it
Stadio San Paolo, Naples, it
Della Favorita, Palermo, it
Stadio Olimpico, Rome, it
Allianz Stadium, Turin, it
Stadio Friuli, Udine, it
Marc Antonio Bentegodi, Verona, it
